type,subtype,name,has_adfree,homepage,signup,lat,lon,area,image
news,MA,Boston Herald,yes,https://www.bostonherald.com/,https://checkout.bostonherald.com/,42.3601,-71.0589,east,https://medianewsgroup.com/wp-content/uploads/2022/09/BH_logo_4c-FINAL.png
news,CO,Canon City Daily Record,yes,https://www.canoncitydailyrecord.com/,https://checkout.canoncitydailyrecord.com/,38.4494,-105.2253,west,https://medianewsgroup.com/wp-content/uploads/2022/09/Daily-Record-Logo.png
news,CA,Daily Breeze,yes,https://www.dailybreeze.com/,https://checkout.dailybreeze.com/,33.8358,-118.342794,west,https://medianewsgroup.com/wp-content/uploads/2022/09/Torrance_Daily_Breeze.png
news,PA,Daily Local News,yes,https://www.dailylocal.com/,https://checkout.dailylocal.com/,40.0326,-75.629694,east,https://medianewsgroup.com/wp-content/uploads/2022/09/DailyLocalNews.jpg
news,PA,Delaware County Daily Times,yes,https://www.delcotimes.com/,https://checkout.delcotimes.com/,39.9021,-75.352094,east,https://medianewsgroup.com/wp-content/uploads/2022/09/DailyTimes.jpg
news,CA,East Bay Times,yes,https://www.eastbaytimes.com/,https://checkout.eastbaytimes.com/,37.9296806,-122.0247098,west,https://medianewsgroup.com/wp-content/uploads/2022/09/eastbaytimeslogo.png
news,CO,Estes Park Trail-Gazette,yes,https://www.eptrail.com/,https://checkout.eptrail.com/,40.3772,-105.5217,west,
news,CA,Eureka Times Standard,yes,https://www.times-standard.com/,https://checkout.times-standard.com/,40.8021,-124.1637,west,https://medianewsgroup.com/wp-content/uploads/2022/09/times-standard-logo.png
news,MA,Fitchburg Sentinel & Enterprise,yes,https://www.sentinelandenterprise.com/,https://checkout.sentinelandenterprise.com/,42.5834,-71.804494,east,https://medianewsgroup.com/wp-content/uploads/2022/09/Sentinel_Logo.png
news,CO,Greeley Tribune,yes,https://www.greeleytribune.com/,https://checkout.greeleytribune.com/,40.4233,-104.7091,west,https://medianewsgroup.com/wp-content/uploads/2022/09/GreeleyTribune-mainlogo.png
news,CA,Inland Valley Daily Bulletin,yes,https://www.dailybulletin.com/,https://checkout.dailybulletin.com/,34.0651576,-117.5824269,west,https://www.medianewsgroup.com/wp-content/uploads/2022/09/Inland_Valley_Daily_Bulletin.png
news,CA,Lake County Record Bee,yes,https://www.record-bee.com/,https://checkout.record-bee.com/,39.0375266,-122.942158,west,https://medianewsgroup.com/wp-content/uploads/2022/09/LAKEPORT-RECORD-BEE-PNG.png
news,CO,Longmont Times-Call,yes,https://www.timescall.com/,https://checkout.timescall.com/,40.1672,-105.1019,west,https://www.medianewsgroup.com/wp-content/uploads/2022/09/TClogo_horizColor.png
news,CA,Los Angeles Daily News,yes,https://www.dailynews.com/,https://checkout.dailynews.com/,34.0522,-118.245894,west,https://medianewsgroup.com/wp-content/uploads/2022/09/Los_Angeles_Daily_News.png
news,CO,Loveland Reporter-Herald,yes,https://www.reporterherald.com/,https://checkout.reporterherald.com/,40.3978,-105.075,west,https://www.medianewsgroup.com/wp-content/uploads/2022/09/RHLogo_color.png
news,MA,Lowell Sun,yes,https://www.lowellsun.com/,https://checkout.lowellsun.com/,42.6334,-71.318394,east,https://www.medianewsgroup.com/wp-content/uploads/2022/09/Sun_VectorLogo.png
news,CA,Marin Independent Journal,yes,https://www.marinij.com/,https://checkout.marinij.com/,37.951893,-122.495887,west,https://medianewsgroup.com/wp-content/uploads/2022/09/marinindependentjournallog-1.png
news,CA,Monterey Herald,yes,https://www.montereyherald.com/,https://checkout.montereyherald.com/,36.6002,-121.8947,west,
news,MI,Morning Sun,yes,https://www.themorningsun.com/,https://checkout.themorningsun.com/,,,,https://medianewsgroup.com/wp-content/uploads/2022/09/MorningSun2016_Vector.png
news,PA,Norristown Times Herald,yes,https://www.timesherald.com/,https://checkout.timesherald.com/,40.1215,-75.342094,east,
news,NY,Oneida Daily Dispatch,yes,https://www.oneidadispatch.com/,https://checkout.oneidadispatch.com/,43.0926,-75.653494,east,
